timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1655379545001,1,Op-1-GetModels-1,200,OK,w3sd Workflow 1-1,text,true,,312,129,1,1,http://192.168.0.87:5001/api/model,1,1,0,0,0
1655379545101,3,Op-1-GetModels-2,200,OK,w3sd Workflow 1-2,text,true,,312,129,2,2,http://192.168.0.87:5001/api/model,3,1,0,0,0
1655379545201,9,Op-1-GetModels-3,200,OK,w3sd Workflow 1-3,text,true,,312,129,3,3,http://192.168.0.87:5001/api/model,9,1,0,0,0
1655379545301,14,Op-1-GetModels-4,200,OK,w3sd Workflow 1-4,text,true,,312,129,4,4,http://192.168.0.87:5001/api/model,14,1,0,0,0
1655379545401,17,Op-1-GetModels-5,200,OK,w3sd Workflow 1-5,text,true,,312,129,5,5,http://192.168.0.87:5001/api/model,17,1,0,0,0
1655379545501,9,Op-1-GetModels-6,200,OK,w3sd Workflow 1-6,text,true,,312,129,6,6,http://192.168.0.87:5001/api/model,9,1,0,0,1
1655379545601,10,Op-1-GetModels-7,200,OK,w3sd Workflow 1-7,text,true,,312,129,7,7,http://192.168.0.87:5001/api/model,10,1,0,0,1
1655379545700,10,Op-1-GetModels-8,200,OK,w3sd Workflow 1-8,text,true,,312,129,8,8,http://192.168.0.87:5001/api/model,10,1,0,0,1
1655379545800,10,Op-1-GetModels-9,200,OK,w3sd Workflow 1-9,text,true,,312,129,9,9,http://192.168.0.87:5001/api/model,10,1,0,0,1
1655379545901,9,Op-1-GetModels-10,200,OK,w3sd Workflow 1-10,text,true,,312,129,10,10,http://192.168.0.87:5001/api/model,9,1,0,0,0
1655379545003,2916,Op-2-GetAnimations-1,200,OK,w3sd Workflow 1-1,text,true,,296,154,10,10,http://192.168.0.87:5001/api/model/character.fbx/animations,2916,1,0,0,0
1655379545105,2944,Op-2-GetAnimations-2,200,OK,w3sd Workflow 1-2,text,true,,296,154,10,10,http://192.168.0.87:5001/api/model/character.fbx/animations,2944,1,0,0,0
1655379548049,2844,Op-3-GetItems-2,200,OK,w3sd Workflow 1-2,text,true,,1298,154,10,10,http://192.168.0.87:5001/api/model/character.fbx/assemblies,2844,1,0,0,1
1655379547919,3003,Op-3-GetItems-1,200,OK,w3sd Workflow 1-1,text,true,,1298,154,10,10,http://192.168.0.87:5001/api/model/character.fbx/assemblies,3003,1,0,0,0
1655379550922,2760,Op-4-HideElement-1,200,OK,w3sd Workflow 1-1,text,true,,292,424,10,10,http://192.168.0.87:5001/api/model/character.fbx/hide,2760,1,0,0,1
1655379545710,8208,Op-2-GetAnimations-8,200,OK,w3sd Workflow 1-8,text,true,,296,154,10,10,http://192.168.0.87:5001/api/model/character.fbx/animations,8208,1,0,0,0
1655379553682,3046,Op-5-ShowElement-1,200,OK,w3sd Workflow 1-1,text,true,,292,375,10,10,http://192.168.0.87:5001/api/model/character.fbx/show,3046,1,0,0,0
1655379553918,2833,Op-3-GetItems-8,200,OK,w3sd Workflow 1-8,text,true,,1298,154,10,10,http://192.168.0.87:5001/api/model/character.fbx/assemblies,2833,1,0,0,0
