Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Op-1-GetModels-1,1,3,3,3,3,3,3,3,0.000%,333.33333,101.56,41.99
Op-2-GetAnimations-1,1,2710,2710,2710,2710,2710,2710,2710,0.000%,.36900,0.11,0.06
Op-3-GetItems-1,1,2695,2695,2695,2695,2695,2695,2695,0.000%,.37106,0.47,0.06
Op-4-HideElement-1,1,2687,2687,2687,2687,2687,2687,2687,0.000%,.37216,0.11,0.15
Op-5-ShowElement-1,1,2663,2663,2663,2663,2663,2663,2663,0.000%,.37552,0.11,0.14
Op-6-ChangeTextureColor-1,1,2667,2667,2667,2667,2667,2667,2667,0.000%,.37495,0.11,0.14
Op-7-ChangeTextureMaterial-1,1,2710,2710,2710,2710,2710,2710,2710,0.000%,.36900,0.11,0.14
Op-8-GenerateAvatar-1,1,2742,2742,2742,2742,2742,2742,2742,0.000%,.36470,0.10,0.13
Workflow-User-1,1,18877,18877,18877,18877,18877,18877,18877,0.000%,.05297,0.17,0.12
TOTAL,9,4194,2695,2742,18877,18877,3,18877,0.000%,.47677,0.35,0.25
