Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Op-1-GetModels-1,1,2,2,2,2,2,2,2,0.000%,500.00000,152.34,62.99
Op-1-GetModels-2,1,2,2,2,2,2,2,2,0.000%,500.00000,152.34,62.99
Op-1-GetModels-3,1,8,8,8,8,8,8,8,0.000%,125.00000,38.09,15.75
Op-1-GetModels-4,1,14,14,14,14,14,14,14,0.000%,71.42857,21.76,9.00
Op-1-GetModels-5,1,37,37,37,37,37,37,37,0.000%,27.02703,8.23,3.40
Op-1-GetModels-6,1,26,26,26,26,26,26,26,0.000%,38.46154,11.72,4.85
Op-1-GetModels-7,1,19,19,19,19,19,19,19,0.000%,52.63158,16.04,6.63
Op-1-GetModels-8,1,47,47,47,47,47,47,47,0.000%,21.27660,6.48,2.68
Op-1-GetModels-9,1,31,31,31,31,31,31,31,0.000%,32.25806,9.83,4.06
Op-1-GetModels-10,1,21,21,21,21,21,21,21,0.000%,47.61905,14.51,6.00
Op-1-GetModels-11,1,17,17,17,17,17,17,17,0.000%,58.82353,17.92,7.41
Op-1-GetModels-12,1,29,29,29,29,29,29,29,0.000%,34.48276,10.51,4.34
Op-1-GetModels-13,1,16,16,16,16,16,16,16,0.000%,62.50000,19.04,7.87
Op-1-GetModels-14,1,29,29,29,29,29,29,29,0.000%,34.48276,10.51,4.34
Op-1-GetModels-15,1,21,21,21,21,21,21,21,0.000%,47.61905,14.51,6.00
Op-1-GetModels-16,1,19,19,19,19,19,19,19,0.000%,52.63158,16.04,6.63
Op-1-GetModels-17,1,24,24,24,24,24,24,24,0.000%,41.66667,12.70,5.25
Op-1-GetModels-18,1,6,6,6,6,6,6,6,0.000%,166.66667,50.78,21.00
Op-1-GetModels-19,1,21,21,21,21,21,21,21,0.000%,47.61905,14.51,6.00
Op-1-GetModels-20,1,6,6,6,6,6,6,6,0.000%,166.66667,50.78,21.00
Op-1-GetModels-21,1,13,13,13,13,13,13,13,0.000%,76.92308,23.44,9.69
Op-1-GetModels-22,1,12,12,12,12,12,12,12,0.000%,83.33333,25.39,10.50
Op-1-GetModels-23,1,10,10,10,10,10,10,10,0.000%,100.00000,30.47,12.60
Op-1-GetModels-24,1,19,19,19,19,19,19,19,0.000%,52.63158,16.04,6.63
Op-1-GetModels-25,1,25,25,25,25,25,25,25,0.000%,40.00000,12.19,5.04
Op-1-GetModels-26,1,10,10,10,10,10,10,10,0.000%,100.00000,30.47,12.60
Op-1-GetModels-27,1,26,26,26,26,26,26,26,0.000%,38.46154,11.72,4.85
Op-1-GetModels-28,1,10,10,10,10,10,10,10,0.000%,100.00000,30.47,12.60
Op-1-GetModels-29,1,22,22,22,22,22,22,22,0.000%,45.45455,13.85,5.73
Op-1-GetModels-30,1,10,10,10,10,10,10,10,0.000%,100.00000,30.47,12.60
Op-1-GetModels-31,1,23,23,23,23,23,23,23,0.000%,43.47826,13.25,5.48
Op-1-GetModels-32,1,10,10,10,10,10,10,10,0.000%,100.00000,30.47,12.60
Op-1-GetModels-33,1,17,17,17,17,17,17,17,0.000%,58.82353,17.92,7.41
Op-1-GetModels-34,1,25,25,25,25,25,25,25,0.000%,40.00000,12.19,5.04
Op-1-GetModels-35,1,10,10,10,10,10,10,10,0.000%,100.00000,30.47,12.60
Op-1-GetModels-36,1,17,17,17,17,17,17,17,0.000%,58.82353,17.92,7.41
Op-1-GetModels-37,1,16,16,16,16,16,16,16,0.000%,62.50000,19.04,7.87
Op-1-GetModels-38,1,16,16,16,16,16,16,16,0.000%,62.50000,19.04,7.87
Op-1-GetModels-39,1,18,18,18,18,18,18,18,0.000%,55.55556,16.93,7.00
Op-1-GetModels-40,1,22,22,22,22,22,22,22,0.000%,45.45455,13.85,5.73
Op-1-GetModels-41,1,10,10,10,10,10,10,10,0.000%,100.00000,30.47,12.60
Op-1-GetModels-42,1,12,12,12,12,12,12,12,0.000%,83.33333,25.39,10.50
Op-1-GetModels-43,1,12,12,12,12,12,12,12,0.000%,83.33333,25.39,10.50
Op-1-GetModels-44,1,12,12,12,12,12,12,12,0.000%,83.33333,25.39,10.50
Op-1-GetModels-45,1,22,22,22,22,22,22,22,0.000%,45.45455,13.85,5.73
Op-1-GetModels-46,1,12,12,12,12,12,12,12,0.000%,83.33333,25.39,10.50
Op-1-GetModels-47,1,26,26,26,26,26,26,26,0.000%,38.46154,11.72,4.85
Op-1-GetModels-48,1,13,13,13,13,13,13,13,0.000%,76.92308,23.44,9.69
Op-1-GetModels-49,1,24,24,24,24,24,24,24,0.000%,41.66667,12.70,5.25
Op-1-GetModels-50,1,8,8,8,8,8,8,8,0.000%,125.00000,38.09,15.75
Op-2-GetAnimations-2,1,3930,3930,3930,3930,3930,3930,3930,0.000%,.25445,0.07,0.04
Op-2-GetAnimations-1,1,3961,3961,3961,3961,3961,3961,3961,0.000%,.25246,0.07,0.04
Op-2-GetAnimations-42,1,6652,6652,6652,6652,6652,6652,6652,0.000%,.15033,0.04,0.02
Op-3-GetItems-1,1,3533,3533,3533,3533,3533,3533,3533,0.000%,.28305,0.36,0.04
Op-2-GetAnimations-13,1,10809,10809,10809,10809,10809,10809,10809,0.000%,.09252,0.03,0.01
Op-2-GetAnimations-16,1,10834,10834,10834,10834,10834,10834,10834,0.000%,.09230,0.03,0.01
Op-3-GetItems-16,1,3484,3484,3484,3484,3484,3484,3484,0.000%,.28703,0.36,0.04
Op-2-GetAnimations-34,1,14062,14062,14062,14062,14062,14062,14062,0.000%,.07111,0.02,0.01
Op-3-GetItems-34,1,3865,3865,3865,3865,3865,3865,3865,0.000%,.25873,0.33,0.04
Op-2-GetAnimations-8,1,19748,19748,19748,19748,19748,19748,19748,0.000%,.05064,0.01,0.01
Op-3-GetItems-42,1,12762,12762,12762,12762,12762,12762,12762,0.000%,.07836,0.10,0.01
Op-4-HideElement-42,1,3371,3371,3371,3371,3371,3371,3371,0.000%,.29665,0.08,0.12
Op-2-GetAnimations-17,1,23456,23456,23456,23456,23456,23456,23456,0.000%,.04263,0.01,0.01
Op-2-GetAnimations-46,1,26184,26184,26184,26184,26184,26184,26184,0.000%,.03819,0.01,0.01
Op-5-ShowElement-42,1,3783,3783,3783,3783,3783,3783,3783,0.000%,.26434,0.08,0.10
Op-4-HideElement-1,1,23170,23170,23170,23170,23170,23170,23170,0.000%,.04316,0.01,0.02
Op-2-GetAnimations-30,1,30558,30558,30558,30558,30558,30558,30558,0.000%,.03272,0.01,0.00
Op-3-GetItems-13,1,23216,23216,23216,23216,23216,23216,23216,0.000%,.04307,0.05,0.01
Op-5-ShowElement-1,1,3989,3989,3989,3989,3989,3989,3989,0.000%,.25069,0.07,0.09
Op-2-GetAnimations-10,1,37582,37582,37582,37582,37582,37582,37582,0.000%,.02661,0.01,0.00
Op-2-GetAnimations-31,1,37641,37641,37641,37641,37641,37641,37641,0.000%,.02657,0.01,0.00
Op-2-GetAnimations-36,1,40643,40643,40643,40643,40643,40643,40643,0.000%,.02460,0.01,0.00
Op-3-GetItems-31,1,3615,3615,3615,3615,3615,3615,3615,0.000%,.27663,0.35,0.04
Op-2-GetAnimations-7,1,44816,44816,44816,44816,44816,44816,44816,0.000%,.02231,0.01,0.00
Op-2-GetAnimations-37,1,45019,45019,45019,45019,45019,45019,45019,0.000%,.02221,0.01,0.00
Op-2-GetAnimations-33,1,47970,47970,47970,47970,47970,47970,47970,0.000%,.02085,0.01,0.00
Op-4-HideElement-31,1,7046,7046,7046,7046,7046,7046,7046,0.000%,.14192,0.04,0.06
Op-3-GetItems-33,1,4704,4704,4704,4704,4704,4704,4704,0.000%,.21259,0.27,0.03
Op-2-GetAnimations-26,1,53684,53684,53684,53684,53684,53684,53684,0.000%,.01863,0.01,0.00
Op-5-ShowElement-31,1,5395,5395,5395,5395,5395,5395,5395,0.000%,.18536,0.05,0.07
Op-2-GetAnimations-35,1,57044,57044,57044,57044,57044,57044,57044,0.000%,.01753,0.01,0.00
Op-3-GetItems-10,1,20097,20097,20097,20097,20097,20097,20097,0.000%,.04976,0.06,0.01
Op-2-GetAnimations-5,1,61251,61251,61251,61251,61251,61251,61251,0.000%,.01633,0.00,0.00
Op-3-GetItems-35,1,3711,3711,3711,3711,3711,3711,3711,0.000%,.26947,0.34,0.04
Op-3-GetItems-5,1,3590,3590,3590,3590,3590,3590,3590,0.000%,.27855,0.35,0.04
Op-4-HideElement-35,1,3520,3520,3520,3520,3520,3520,3520,0.000%,.28409,0.08,0.12
Op-5-ShowElement-35,1,3327,3327,3327,3327,3327,3327,3327,0.000%,.30057,0.09,0.11
Op-4-HideElement-5,1,3846,3846,3846,3846,3846,3846,3846,0.000%,.26001,0.07,0.11
Op-4-HideElement-16,1,57329,57329,57329,57329,57329,57329,57329,0.000%,.01744,0.00,0.01
Op-5-ShowElement-5,1,3795,3795,3795,3795,3795,3795,3795,0.000%,.26350,0.08,0.10
Op-2-GetAnimations-39,1,74876,74876,74876,74876,74876,74876,74876,0.000%,.01336,0.00,0.00
Op-5-ShowElement-16,1,3946,3946,3946,3946,3946,3946,3946,0.000%,.25342,0.07,0.09
Op-3-GetItems-8,1,59304,59304,59304,59304,59304,59304,59304,0.000%,.01686,0.02,0.00
Op-6-ChangeTextureColor-16,1,3720,3720,3720,3720,3720,3720,3720,0.000%,.26882,0.08,0.10
Op-4-HideElement-8,1,3357,3357,3357,3357,3357,3357,3357,0.000%,.29789,0.08,0.12
Op-3-GetItems-30,1,52567,52567,52567,52567,52567,52567,52567,0.000%,.01902,0.02,0.00
Op-5-ShowElement-8,1,3848,3848,3848,3848,3848,3848,3848,0.000%,.25988,0.07,0.10
Op-3-GetItems-17,1,62950,62950,62950,62950,62950,62950,62950,0.000%,.01589,0.02,0.00
Op-6-ChangeTextureColor-8,1,3483,3483,3483,3483,3483,3483,3483,0.000%,.28711,0.08,0.11
Op-4-HideElement-17,1,3605,3605,3605,3605,3605,3605,3605,0.000%,.27739,0.08,0.11
Op-7-ChangeTextureMaterial-16,1,14060,14060,14060,14060,14060,14060,14060,0.000%,.07112,0.02,0.03
Op-5-ShowElement-17,1,3422,3422,3422,3422,3422,3422,3422,0.000%,.29223,0.08,0.11
Op-8-GenerateAvatar-16,1,3566,3566,3566,3566,3566,3566,3566,0.000%,.28043,0.08,0.10
Workflow-User-16,1,96958,96958,96958,96958,96958,96958,96958,0.000%,.01031,0.03,0.02
Op-6-ChangeTextureColor-17,1,3567,3567,3567,3567,3567,3567,3567,0.000%,.28035,0.08,0.11
Op-2-GetAnimations-14,1,100489,100489,100489,100489,100489,100489,100489,0.000%,.00995,0.00,0.00
Op-2-GetAnimations-23,1,100562,100562,100562,100562,100562,100562,100562,0.000%,.00994,0.00,0.00
Op-6-ChangeTextureColor-31,1,50011,50011,50011,50011,50011,50011,50011,0.000%,.02000,0.01,0.01
Op-4-HideElement-34,1,85864,85864,85864,85864,85864,85864,85864,0.000%,.01165,0.00,0.00
Op-5-ShowElement-34,1,4519,4519,4519,4519,4519,4519,4519,0.000%,.22129,0.06,0.08
Op-2-GetAnimations-9,1,109176,109176,109176,109176,109176,109176,109176,0.000%,.00916,0.00,0.00
Op-2-GetAnimations-15,1,109815,109815,109815,109815,109815,109815,109815,0.000%,.00911,0.00,0.00
Op-3-GetItems-9,1,3549,3549,3549,3549,3549,3549,3549,0.000%,.28177,0.36,0.04
Op-3-GetItems-14,1,13027,13027,13027,13027,13027,13027,13027,0.000%,.07676,0.10,0.01
