Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Op-1-GetModels-1,1,3,3,3,0.00,0.000%,333.33333,101.56,41.99,312.0
Op-1-GetModels-2,1,5,5,5,0.00,0.000%,200.00000,60.94,25.20,312.0
Op-1-GetModels-3,1,12,12,12,0.00,0.000%,83.33333,25.39,10.50,312.0
Op-1-GetModels-4,1,8,8,8,0.00,0.000%,125.00000,38.09,15.75,312.0
Op-1-GetModels-5,1,8,8,8,0.00,0.000%,125.00000,38.09,15.75,312.0
Op-1-GetModels-6,1,18,18,18,0.00,0.000%,55.55556,16.93,7.00,312.0
Op-1-GetModels-7,1,36,36,36,0.00,0.000%,27.77778,8.46,3.50,312.0
Op-1-GetModels-8,1,25,25,25,0.00,0.000%,40.00000,12.19,5.04,312.0
Op-1-GetModels-9,1,24,24,24,0.00,0.000%,41.66667,12.70,5.25,312.0
Op-1-GetModels-10,1,45,45,45,0.00,0.000%,22.22222,6.77,2.80,312.0
Op-1-GetModels-11,1,47,47,47,0.00,0.000%,21.27660,6.48,2.68,312.0
Op-1-GetModels-12,1,35,35,35,0.00,0.000%,28.57143,8.71,3.60,312.0
Op-1-GetModels-13,1,31,31,31,0.00,0.000%,32.25806,9.83,4.06,312.0
Op-1-GetModels-14,1,32,32,32,0.00,0.000%,31.25000,9.52,3.94,312.0
Op-1-GetModels-15,1,40,40,40,0.00,0.000%,25.00000,7.62,3.15,312.0
Op-1-GetModels-16,1,44,44,44,0.00,0.000%,22.72727,6.92,2.86,312.0
Op-1-GetModels-17,1,48,48,48,0.00,0.000%,20.83333,6.35,2.62,312.0
Op-1-GetModels-18,1,40,40,40,0.00,0.000%,25.00000,7.62,3.15,312.0
Op-1-GetModels-19,1,44,44,44,0.00,0.000%,22.72727,6.92,2.86,312.0
Op-1-GetModels-20,1,35,35,35,0.00,0.000%,28.57143,8.71,3.60,312.0
Op-1-GetModels-21,1,32,32,32,0.00,0.000%,31.25000,9.52,3.94,312.0
Op-1-GetModels-22,1,44,44,44,0.00,0.000%,22.72727,6.92,2.86,312.0
Op-1-GetModels-23,1,56,56,56,0.00,0.000%,17.85714,5.44,2.25,312.0
Op-1-GetModels-24,1,55,55,55,0.00,0.000%,18.18182,5.54,2.29,312.0
Op-1-GetModels-25,1,43,43,43,0.00,0.000%,23.25581,7.09,2.93,312.0
Op-1-GetModels-26,1,54,54,54,0.00,0.000%,18.51852,5.64,2.33,312.0
Op-1-GetModels-27,1,53,53,53,0.00,0.000%,18.86792,5.75,2.38,312.0
Op-1-GetModels-28,1,57,57,57,0.00,0.000%,17.54386,5.35,2.21,312.0
Op-1-GetModels-29,1,69,69,69,0.00,0.000%,14.49275,4.42,1.83,312.0
Op-1-GetModels-30,1,62,62,62,0.00,0.000%,16.12903,4.91,2.03,312.0
Op-1-GetModels-31,1,74,74,74,0.00,0.000%,13.51351,4.12,1.70,312.0
Op-1-GetModels-32,1,70,70,70,0.00,0.000%,14.28571,4.35,1.80,312.0
Op-1-GetModels-33,1,79,79,79,0.00,0.000%,12.65823,3.86,1.59,312.0
Op-1-GetModels-34,1,74,74,74,0.00,0.000%,13.51351,4.12,1.70,312.0
Op-1-GetModels-35,1,90,90,90,0.00,0.000%,11.11111,3.39,1.40,312.0
Op-1-GetModels-36,1,86,86,86,0.00,0.000%,11.62791,3.54,1.46,312.0
Op-1-GetModels-37,1,100,100,100,0.00,0.000%,10.00000,3.05,1.26,312.0
Op-1-GetModels-38,1,103,103,103,0.00,0.000%,9.70874,2.96,1.22,312.0
Op-1-GetModels-39,1,96,96,96,0.00,0.000%,10.41667,3.17,1.31,312.0
Op-1-GetModels-40,1,102,102,102,0.00,0.000%,9.80392,2.99,1.24,312.0
Op-1-GetModels-41,1,98,98,98,0.00,0.000%,10.20408,3.11,1.29,312.0
Op-1-GetModels-42,1,102,102,102,0.00,0.000%,9.80392,2.99,1.24,312.0
Op-1-GetModels-43,1,104,104,104,0.00,0.000%,9.61538,2.93,1.21,312.0
Op-1-GetModels-44,1,98,98,98,0.00,0.000%,10.20408,3.11,1.29,312.0
Op-1-GetModels-45,1,105,105,105,0.00,0.000%,9.52381,2.90,1.20,312.0
Op-1-GetModels-46,1,116,116,116,0.00,0.000%,8.62069,2.63,1.09,312.0
Op-1-GetModels-47,1,120,120,120,0.00,0.000%,8.33333,2.54,1.05,312.0
Op-1-GetModels-48,1,115,115,115,0.00,0.000%,8.69565,2.65,1.10,312.0
Op-1-GetModels-49,1,118,118,118,0.00,0.000%,8.47458,2.58,1.07,312.0
Op-1-GetModels-50,1,116,116,116,0.00,0.000%,8.62069,2.63,1.09,312.0
Op-1-GetModels-51,1,108,108,108,0.00,0.000%,9.25926,2.82,1.17,312.0
Op-1-GetModels-52,1,126,126,126,0.00,0.000%,7.93651,2.42,1.00,312.0
Op-1-GetModels-53,1,115,115,115,0.00,0.000%,8.69565,2.65,1.10,312.0
Op-1-GetModels-54,1,123,123,123,0.00,0.000%,8.13008,2.48,1.02,312.0
Op-1-GetModels-55,1,137,137,137,0.00,0.000%,7.29927,2.22,0.92,312.0
Op-1-GetModels-56,1,127,127,127,0.00,0.000%,7.87402,2.40,0.99,312.0
Op-1-GetModels-57,1,146,146,146,0.00,0.000%,6.84932,2.09,0.86,312.0
Op-1-GetModels-58,1,134,134,134,0.00,0.000%,7.46269,2.27,0.94,312.0
Op-1-GetModels-59,1,143,143,143,0.00,0.000%,6.99301,2.13,0.88,312.0
Op-1-GetModels-60,1,150,150,150,0.00,0.000%,6.66667,2.03,0.84,312.0
Op-1-GetModels-61,1,143,143,143,0.00,0.000%,6.99301,2.13,0.88,312.0
Op-1-GetModels-62,1,165,165,165,0.00,0.000%,6.06061,1.85,0.76,312.0
Op-1-GetModels-63,1,153,153,153,0.00,0.000%,6.53595,1.99,0.82,312.0
Op-1-GetModels-64,1,156,156,156,0.00,0.000%,6.41026,1.95,0.81,312.0
Op-1-GetModels-65,1,154,154,154,0.00,0.000%,6.49351,1.98,0.82,312.0
Op-1-GetModels-66,1,168,168,168,0.00,0.000%,5.95238,1.81,0.75,312.0
Op-1-GetModels-67,1,157,157,157,0.00,0.000%,6.36943,1.94,0.80,312.0
Op-1-GetModels-68,1,149,149,149,0.00,0.000%,6.71141,2.04,0.85,312.0
Op-1-GetModels-69,1,170,170,170,0.00,0.000%,5.88235,1.79,0.74,312.0
Op-1-GetModels-70,1,158,158,158,0.00,0.000%,6.32911,1.93,0.80,312.0
