Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Op-1-GetModels-1,1,1,1,1,0.00,0.000%,1000.00000,304.69,125.98,312.0
Op-1-GetModels-2,1,3,3,3,0.00,0.000%,333.33333,101.56,41.99,312.0
Op-1-GetModels-3,1,9,9,9,0.00,0.000%,111.11111,33.85,14.00,312.0
Op-1-GetModels-4,1,14,14,14,0.00,0.000%,71.42857,21.76,9.00,312.0
Op-1-GetModels-5,1,17,17,17,0.00,0.000%,58.82353,17.92,7.41,312.0
Op-1-GetModels-6,1,9,9,9,0.00,0.000%,111.11111,33.85,14.00,312.0
Op-1-GetModels-7,1,10,10,10,0.00,0.000%,100.00000,30.47,12.60,312.0
Op-1-GetModels-8,1,10,10,10,0.00,0.000%,100.00000,30.47,12.60,312.0
Op-1-GetModels-9,1,10,10,10,0.00,0.000%,100.00000,30.47,12.60,312.0
Op-1-GetModels-10,1,9,9,9,0.00,0.000%,111.11111,33.85,14.00,312.0
Op-2-GetAnimations-1,1,2916,2916,2916,0.00,0.000%,.34294,0.10,0.05,296.0
Op-2-GetAnimations-2,1,2944,2944,2944,0.00,0.000%,.33967,0.10,0.05,296.0
Op-3-GetItems-2,1,2844,2844,2844,0.00,0.000%,.35162,0.45,0.05,1298.0
Op-3-GetItems-1,1,3003,3003,3003,0.00,0.000%,.33300,0.42,0.05,1298.0
Op-4-HideElement-1,1,2760,2760,2760,0.00,0.000%,.36232,0.10,0.15,292.0
Op-2-GetAnimations-8,1,8208,8208,8208,0.00,0.000%,.12183,0.04,0.02,296.0
Op-5-ShowElement-1,1,3046,3046,3046,0.00,0.000%,.32830,0.09,0.12,292.0
Op-3-GetItems-8,1,2833,2833,2833,0.00,0.000%,.35298,0.45,0.05,1298.0
Op-4-HideElement-8,1,2845,2845,2845,0.00,0.000%,.35149,0.10,0.15,292.0
Op-6-ChangeTextureColor-1,1,2927,2927,2927,0.00,0.000%,.34165,0.10,0.13,292.0
Op-2-GetAnimations-3,1,17369,17369,17369,0.00,0.000%,.05757,0.02,0.01,296.0
Op-5-ShowElement-8,1,3036,3036,3036,0.00,0.000%,.32938,0.09,0.12,292.0
Op-6-ChangeTextureColor-8,1,2859,2859,2859,0.00,0.000%,.34977,0.10,0.13,292.0
Op-3-GetItems-3,1,2951,2951,2951,0.00,0.000%,.33887,0.43,0.05,1298.0
Op-4-HideElement-3,1,2768,2768,2768,0.00,0.000%,.36127,0.10,0.15,292.0
Op-7-ChangeTextureMaterial-8,1,3131,3131,3131,0.00,0.000%,.31939,0.09,0.12,292.0
Op-5-ShowElement-3,1,3123,3123,3123,0.00,0.000%,.32020,0.09,0.12,292.0
Op-8-GenerateAvatar-8,1,2939,2939,2939,0.00,0.000%,.34025,0.10,0.12,292.0
Workflow-User-8,1,25861,25861,25861,0.00,0.000%,.03867,0.13,0.09,3366.0
Op-6-ChangeTextureColor-3,1,2986,2986,2986,0.00,0.000%,.33490,0.10,0.13,292.0
Op-2-GetAnimations-10,1,28766,28766,28766,0.00,0.000%,.03476,0.01,0.01,296.0
Op-7-ChangeTextureMaterial-3,1,3153,3153,3153,0.00,0.000%,.31716,0.09,0.12,292.0
Op-3-GetItems-10,1,3261,3261,3261,0.00,0.000%,.30665,0.39,0.05,1298.0
Op-2-GetAnimations-7,1,35285,35285,35285,0.00,0.000%,.02834,0.01,0.00,296.0
Op-8-GenerateAvatar-3,1,3391,3391,3391,0.00,0.000%,.29490,0.08,0.10,292.0
Workflow-User-3,1,35750,35750,35750,0.00,0.000%,.02797,0.09,0.07,3366.0
Op-3-GetItems-7,1,3137,3137,3137,0.00,0.000%,.31878,0.40,0.05,1298.0
Op-4-HideElement-10,1,6212,6212,6212,0.00,0.000%,.16098,0.05,0.07,292.0
Op-4-HideElement-7,1,3110,3110,3110,0.00,0.000%,.32154,0.09,0.13,292.0
Op-5-ShowElement-10,1,3195,3195,3195,0.00,0.000%,.31299,0.09,0.11,292.0
Op-5-ShowElement-7,1,3132,3132,3132,0.00,0.000%,.31928,0.09,0.12,292.0
Op-6-ChangeTextureColor-10,1,3216,3216,3216,0.00,0.000%,.31095,0.09,0.12,292.0
