Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Op-1-GetModels-1,1,2,2,2,0.00,0.000%,500.00000,152.34,62.99,312.0
Op-1-GetModels-2,1,6,6,6,0.00,0.000%,166.66667,50.78,21.00,312.0
Op-1-GetModels-3,1,10,10,10,0.00,0.000%,100.00000,30.47,12.60,312.0
Op-1-GetModels-4,1,14,14,14,0.00,0.000%,71.42857,21.76,9.00,312.0
Op-1-GetModels-5,1,10,10,10,0.00,0.000%,100.00000,30.47,12.60,312.0
Op-2-GetAnimations-1,1,3024,3024,3024,0.00,0.000%,.33069,0.10,0.05,296.0
Op-2-GetAnimations-2,1,2936,2936,2936,0.00,0.000%,.34060,0.10,0.05,296.0
Op-3-GetItems-1,1,3060,3060,3060,0.00,0.000%,.32680,0.41,0.05,1298.0
Op-3-GetItems-2,1,3041,3041,3041,0.00,0.000%,.32884,0.42,0.05,1298.0
Op-4-HideElement-1,1,2904,2904,2904,0.00,0.000%,.34435,0.10,0.14,292.0
Op-4-HideElement-2,1,3039,3039,3039,0.00,0.000%,.32906,0.09,0.14,292.0
Op-5-ShowElement-1,1,3067,3067,3067,0.00,0.000%,.32605,0.09,0.12,292.0
Op-5-ShowElement-2,1,2993,2993,2993,0.00,0.000%,.33411,0.10,0.12,292.0
Op-6-ChangeTextureColor-1,1,2953,2953,2953,0.00,0.000%,.33864,0.10,0.13,292.0
Op-6-ChangeTextureColor-2,1,3058,3058,3058,0.00,0.000%,.32701,0.09,0.12,292.0
Op-7-ChangeTextureMaterial-1,1,3047,3047,3047,0.00,0.000%,.32819,0.09,0.13,292.0
Op-7-ChangeTextureMaterial-2,1,3004,3004,3004,0.00,0.000%,.33289,0.09,0.13,292.0
Op-8-GenerateAvatar-1,1,3017,3017,3017,0.00,0.000%,.33146,0.09,0.12,292.0
Workflow-User-1,1,21074,21074,21074,0.00,0.000%,.04745,0.16,0.11,3366.0
Op-8-GenerateAvatar-2,1,2933,2933,2933,0.00,0.000%,.34095,0.10,0.12,292.0
Workflow-User-2,1,21010,21010,21010,0.00,0.000%,.04759,0.16,0.11,3366.0
Op-2-GetAnimations-4,1,23439,23439,23439,0.00,0.000%,.04266,0.01,0.01,296.0
Op-2-GetAnimations-5,1,23683,23683,23683,0.00,0.000%,.04222,0.01,0.01,296.0
Op-3-GetItems-4,1,3004,3004,3004,0.00,0.000%,.33289,0.42,0.05,1298.0
Op-3-GetItems-5,1,2853,2853,2853,0.00,0.000%,.35051,0.44,0.05,1298.0
Op-4-HideElement-4,1,2948,2948,2948,0.00,0.000%,.33921,0.10,0.14,292.0
Op-4-HideElement-5,1,2845,2845,2845,0.00,0.000%,.35149,0.10,0.15,292.0
Op-5-ShowElement-4,1,2906,2906,2906,0.00,0.000%,.34412,0.10,0.13,292.0
Op-5-ShowElement-5,1,2918,2918,2918,0.00,0.000%,.34270,0.10,0.13,292.0
Op-6-ChangeTextureColor-4,1,2947,2947,2947,0.00,0.000%,.33933,0.10,0.13,292.0
Op-6-ChangeTextureColor-5,1,2848,2848,2848,0.00,0.000%,.35112,0.10,0.13,292.0
Op-7-ChangeTextureMaterial-4,1,2993,2993,2993,0.00,0.000%,.33411,0.10,0.13,292.0
Op-7-ChangeTextureMaterial-5,1,2948,2948,2948,0.00,0.000%,.33921,0.10,0.13,292.0
Op-8-GenerateAvatar-5,1,2879,2879,2879,0.00,0.000%,.34734,0.10,0.12,292.0
Workflow-User-5,1,40984,40984,40984,0.00,0.000%,.02440,0.08,0.06,3366.0
Op-8-GenerateAvatar-4,1,2959,2959,2959,0.00,0.000%,.33795,0.10,0.12,292.0
Workflow-User-4,1,41210,41210,41210,0.00,0.000%,.02426,0.08,0.06,3366.0
Op-2-GetAnimations-3,1,44946,44946,44946,0.00,0.000%,.02225,0.01,0.00,296.0
Op-3-GetItems-3,1,2696,2696,2696,0.00,0.000%,.37092,0.47,0.06,1298.0
Op-4-HideElement-3,1,2672,2672,2672,0.00,0.000%,.37425,0.11,0.15,292.0
Op-5-ShowElement-3,1,2706,2706,2706,0.00,0.000%,.36955,0.11,0.14,292.0
Op-6-ChangeTextureColor-3,1,2687,2687,2687,0.00,0.000%,.37216,0.11,0.14,292.0
Op-7-ChangeTextureMaterial-3,1,2677,2677,2677,0.00,0.000%,.37355,0.11,0.14,292.0
Op-8-GenerateAvatar-3,1,2704,2704,2704,0.00,0.000%,.36982,0.11,0.13,292.0
Workflow-User-3,1,61098,61098,61098,0.00,0.000%,.01637,0.05,0.04,3366.0
TOTAL,45,8238,2,61098,13617.46,0.000%,.73167,0.53,0.38,748.0
