timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655452993893,2,Op-1-GetModels-1,200,OK,w3sd Workflow 1-1,text,true,,312,129,1,1,http://192.168.0.87:5001/api/model,2,0,0
1655452994093,6,Op-1-GetModels-2,200,OK,w3sd Workflow 1-2,text,true,,312,129,2,2,http://192.168.0.87:5001/api/model,6,0,1
1655452994293,10,Op-1-GetModels-3,200,OK,w3sd Workflow 1-3,text,true,,312,129,3,3,http://192.168.0.87:5001/api/model,10,0,1
1655452994493,14,Op-1-GetModels-4,200,OK,w3sd Workflow 1-4,text,true,,312,129,4,4,http://192.168.0.87:5001/api/model,14,0,0
1655452994693,10,Op-1-GetModels-5,200,OK,w3sd Workflow 1-5,text,true,,312,129,5,5,http://192.168.0.87:5001/api/model,10,0,0
1655452993895,3024,Op-2-GetAnimations-1,200,OK,w3sd Workflow 1-1,text,true,,296,154,5,5,http://192.168.0.87:5001/api/model/character.fbx/animations,3024,0,1
1655452994100,2936,Op-2-GetAnimations-2,200,OK,w3sd Workflow 1-2,text,true,,296,154,5,5,http://192.168.0.87:5001/api/model/character.fbx/animations,2936,0,0
1655452996919,3060,Op-3-GetItems-1,200,OK,w3sd Workflow 1-1,text,true,,1298,154,5,5,http://192.168.0.87:5001/api/model/character.fbx/assemblies,3060,0,1
1655452997036,3041,Op-3-GetItems-2,200,OK,w3sd Workflow 1-2,text,true,,1298,154,5,5,http://192.168.0.87:5001/api/model/character.fbx/assemblies,3041,0,0
1655452999980,2904,Op-4-HideElement-1,200,OK,w3sd Workflow 1-1,text,true,,292,424,5,5,http://192.168.0.87:5001/api/model/character.fbx/hide,2904,0,0
1655453000078,3039,Op-4-HideElement-2,200,OK,w3sd Workflow 1-2,text,true,,292,424,5,5,http://192.168.0.87:5001/api/model/character.fbx/hide,3039,0,0
1655453002884,3067,Op-5-ShowElement-1,200,OK,w3sd Workflow 1-1,text,true,,292,375,5,5,http://192.168.0.87:5001/api/model/character.fbx/show,3067,0,1
1655453003118,2993,Op-5-ShowElement-2,200,OK,w3sd Workflow 1-2,text,true,,292,375,5,5,http://192.168.0.87:5001/api/model/character.fbx/show,2993,0,0
1655453005951,2953,Op-6-ChangeTextureColor-1,200,OK,w3sd Workflow 1-1,text,true,,292,388,5,5,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,2953,0,0
1655453006111,3058,Op-6-ChangeTextureColor-2,200,OK,w3sd Workflow 1-2,text,true,,292,388,5,5,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,3058,0,1
1655453008904,3047,Op-7-ChangeTextureMaterial-1,200,OK,w3sd Workflow 1-1,text,true,,292,395,5,5,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,3047,0,1
1655453009169,3004,Op-7-ChangeTextureMaterial-2,200,OK,w3sd Workflow 1-2,text,true,,292,395,5,5,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,3004,0,0
1655453011952,3017,Op-8-GenerateAvatar-1,200,OK,w3sd Workflow 1-1,text,true,,292,364,5,5,http://192.168.0.87:5001/api/avatar,3017,0,0
1655452993893,21074,Workflow-User-1,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-1,,true,,3366,2383,5,5,null,21074,1,4
1655453012174,2933,Op-8-GenerateAvatar-2,200,OK,w3sd Workflow 1-2,text,true,,292,364,4,4,http://192.168.0.87:5001/api/avatar,2933,0,0
1655452994093,21010,Workflow-User-2,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-2,,true,,3366,2383,4,4,null,21010,3,2
1655452994507,23439,Op-2-GetAnimations-4,200,OK,w3sd Workflow 1-4,text,true,,296,154,3,3,http://192.168.0.87:5001/api/model/character.fbx/animations,23439,0,1
1655452994704,23683,Op-2-GetAnimations-5,200,OK,w3sd Workflow 1-5,text,true,,296,154,3,3,http://192.168.0.87:5001/api/model/character.fbx/animations,23683,0,0
1655453017948,3004,Op-3-GetItems-4,200,OK,w3sd Workflow 1-4,text,true,,1298,154,3,3,http://192.168.0.87:5001/api/model/character.fbx/assemblies,3004,0,0
1655453018388,2853,Op-3-GetItems-5,200,OK,w3sd Workflow 1-5,text,true,,1298,154,3,3,http://192.168.0.87:5001/api/model/character.fbx/assemblies,2853,0,0
1655453020953,2948,Op-4-HideElement-4,200,OK,w3sd Workflow 1-4,text,true,,292,424,3,3,http://192.168.0.87:5001/api/model/character.fbx/hide,2948,0,0
1655453021241,2845,Op-4-HideElement-5,200,OK,w3sd Workflow 1-5,text,true,,292,424,3,3,http://192.168.0.87:5001/api/model/character.fbx/hide,2845,0,1
1655453023901,2906,Op-5-ShowElement-4,200,OK,w3sd Workflow 1-4,text,true,,292,375,3,3,http://192.168.0.87:5001/api/model/character.fbx/show,2906,0,0
1655453024087,2918,Op-5-ShowElement-5,200,OK,w3sd Workflow 1-5,text,true,,292,375,3,3,http://192.168.0.87:5001/api/model/character.fbx/show,2918,0,0
1655453026807,2947,Op-6-ChangeTextureColor-4,200,OK,w3sd Workflow 1-4,text,true,,292,388,3,3,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,2947,0,1
1655453027005,2848,Op-6-ChangeTextureColor-5,200,OK,w3sd Workflow 1-5,text,true,,292,388,3,3,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,2848,0,1
1655453029754,2993,Op-7-ChangeTextureMaterial-4,200,OK,w3sd Workflow 1-4,text,true,,292,395,3,3,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,2993,0,1
1655453029853,2948,Op-7-ChangeTextureMaterial-5,200,OK,w3sd Workflow 1-5,text,true,,292,395,3,3,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,2948,0,1
