Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Op-1-GetModels-1,1,25,25,25,25,25,25,25,0.000%,40.00000,12.15,4.92
Op-1-GetModels-2,1,24,24,24,24,24,24,24,0.000%,41.66667,12.65,5.13
Op-1-GetModels-6,1,21,21,21,21,21,21,21,0.000%,47.61905,14.46,5.86
Op-1-GetModels-3,1,41,41,41,41,41,41,41,0.000%,24.39024,7.41,3.00
Op-1-GetModels-4,1,42,42,42,42,42,42,42,0.000%,23.80952,7.23,2.93
Op-1-GetModels-5,1,28,28,28,28,28,28,28,0.000%,35.71429,10.85,4.39
Op-1-GetModels-8,1,24,24,24,24,24,24,24,0.000%,41.66667,12.65,5.13
Op-1-GetModels-7,1,30,30,30,30,30,30,30,0.000%,33.33333,10.12,4.10
Op-1-GetModels-12,1,31,31,31,31,31,31,31,0.000%,32.25806,9.80,3.97
Op-1-GetModels-11,1,47,47,47,47,47,47,47,0.000%,21.27660,6.46,2.62
Op-1-GetModels-14,1,17,17,17,17,17,17,17,0.000%,58.82353,17.87,7.24
Op-1-GetModels-9,1,90,90,90,90,90,90,90,0.000%,11.11111,3.37,1.37
Op-1-GetModels-13,1,86,86,86,86,86,86,86,0.000%,11.62791,3.53,1.43
Op-1-GetModels-10,1,119,119,119,119,119,119,119,0.000%,8.40336,2.55,1.03
Op-1-GetModels-16,1,91,91,91,91,91,91,91,0.000%,10.98901,3.34,1.35
Op-1-GetModels-18,1,77,77,77,77,77,77,77,0.000%,12.98701,3.94,1.60
Op-1-GetModels-17,1,108,108,108,108,108,108,108,0.000%,9.25926,2.81,1.14
Op-1-GetModels-21,1,96,96,96,96,96,96,96,0.000%,10.41667,3.16,1.28
Op-1-GetModels-23,1,80,80,80,80,80,80,80,0.000%,12.50000,3.80,1.54
Op-1-GetModels-19,1,131,131,131,131,131,131,131,0.000%,7.63359,2.32,0.94
Op-1-GetModels-26,1,52,52,52,52,52,52,52,0.000%,19.23077,5.84,2.37
Op-1-GetModels-15,1,159,159,159,159,159,159,159,0.000%,6.28931,1.91,0.77
Op-1-GetModels-25,1,75,75,75,75,75,75,75,0.000%,13.33333,4.05,1.64
Op-1-GetModels-22,1,109,109,109,109,109,109,109,0.000%,9.17431,2.79,1.13
Op-1-GetModels-24,1,87,87,87,87,87,87,87,0.000%,11.49425,3.49,1.41
Op-1-GetModels-27,1,74,74,74,74,74,74,74,0.000%,13.51351,4.10,1.66
Op-1-GetModels-20,1,150,150,150,150,150,150,150,0.000%,6.66667,2.02,0.82
Op-1-GetModels-33,1,62,62,62,62,62,62,62,0.000%,16.12903,4.90,1.98
Op-1-GetModels-35,1,23,23,23,23,23,23,23,0.000%,43.47826,13.20,5.35
Op-1-GetModels-29,1,104,104,104,104,104,104,104,0.000%,9.61538,2.92,1.18
Op-1-GetModels-38,1,17,17,17,17,17,17,17,0.000%,58.82353,17.87,7.24
Op-1-GetModels-31,1,78,78,78,78,78,78,78,0.000%,12.82051,3.89,1.58
Op-1-GetModels-39,1,40,40,40,40,40,40,40,0.000%,25.00000,7.59,3.08
Op-1-GetModels-34,1,86,86,86,86,86,86,86,0.000%,11.62791,3.53,1.43
Op-1-GetModels-32,1,113,113,113,113,113,113,113,0.000%,8.84956,2.69,1.09
Op-1-GetModels-30,1,138,138,138,138,138,138,138,0.000%,7.24638,2.20,0.89
Op-1-GetModels-37,1,70,70,70,70,70,70,70,0.000%,14.28571,4.34,1.76
Op-1-GetModels-28,1,168,168,168,168,168,168,168,0.000%,5.95238,1.81,0.73
Op-1-GetModels-36,1,105,105,105,105,105,105,105,0.000%,9.52381,2.89,1.17
Op-1-GetModels-45,1,51,51,51,51,51,51,51,0.000%,19.60784,5.96,2.41
Op-1-GetModels-44,1,60,60,60,60,60,60,60,0.000%,16.66667,5.06,2.05
Op-1-GetModels-46,1,42,42,42,42,42,42,42,0.000%,23.80952,7.23,2.93
Op-1-GetModels-41,1,114,114,114,114,114,114,114,0.000%,8.77193,2.66,1.08
