Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Op-1-GetModels-1,1,11,11,11,0.00,0.000%,90.90909,27.61,11.19,311.0
Op-2-GetAnimations-1,1,5021,5021,5021,0.00,0.000%,.19916,0.05,0.03,250.0
Op-3-GetItems-1,1,4128,4128,4128,0.00,0.000%,.24225,0.30,0.04,1253.0
Op-4-HideElement-1,1,4777,4777,4777,0.00,0.000%,.20934,0.05,0.08,246.0
Op-5-ShowElement-1,1,5203,5203,5203,0.00,0.000%,.19220,0.05,0.06,246.0
Op-6-ChangeTextureColor-1,1,4908,4908,4908,0.00,0.000%,.20375,0.05,0.07,246.0
Op-7-ChangeTextureMaterial-1,1,5665,5665,5665,0.00,0.000%,.17652,0.04,0.06,246.0
Op-8-GenerateAvatar-1,1,6170,6170,6170,0.00,0.000%,.16207,0.04,0.05,246.0
Workflow-User-1,1,35883,35883,35883,0.00,0.000%,.02782,0.08,0.06,3044.0
TOTAL,9,7974,11,35883,10009.55,0.000%,.25038,0.17,0.12,676.4
