Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Op-1-GetModels-2,1,12,12,12,0.00,0.000%,83.33333,25.31,10.25,311.0
Op-1-GetModels-1,1,25,25,25,0.00,0.000%,40.00000,12.15,4.92,311.0
Op-1-GetModels-3,1,15,15,15,0.00,0.000%,66.66667,20.25,8.20,311.0
Op-1-GetModels-4,1,27,27,27,0.00,0.000%,37.03704,11.25,4.56,311.0
Op-1-GetModels-5,1,160,160,160,0.00,0.000%,6.25000,1.90,0.77,311.0
Op-1-GetModels-6,1,163,163,163,0.00,0.000%,6.13497,1.86,0.75,311.0
Op-1-GetModels-13,1,111,111,111,0.00,0.000%,9.00901,2.74,1.11,311.0
Op-1-GetModels-9,1,151,151,151,0.00,0.000%,6.62252,2.01,0.81,311.0
Op-1-GetModels-8,1,171,171,171,0.00,0.000%,5.84795,1.78,0.72,311.0
Op-1-GetModels-15,1,121,121,121,0.00,0.000%,8.26446,2.51,1.02,311.0
Op-1-GetModels-26,1,71,71,71,0.00,0.000%,14.08451,4.28,1.73,311.0
Op-1-GetModels-23,1,97,97,97,0.00,0.000%,10.30928,3.13,1.27,311.0
Op-1-GetModels-21,1,115,115,115,0.00,0.000%,8.69565,2.64,1.07,311.0
Op-1-GetModels-11,1,135,135,135,0.00,0.000%,7.40741,2.25,0.91,311.0
Op-1-GetModels-7,1,186,186,186,0.00,0.000%,5.37634,1.63,0.66,311.0
Op-1-GetModels-10,1,172,172,172,0.00,0.000%,5.81395,1.77,0.72,311.0
Op-1-GetModels-27,1,82,82,82,0.00,0.000%,12.19512,3.70,1.50,311.0
Op-1-GetModels-22,1,136,136,136,0.00,0.000%,7.35294,2.23,0.90,311.0
Op-1-GetModels-14,1,170,170,170,0.00,0.000%,5.88235,1.79,0.72,311.0
Op-1-GetModels-33,1,129,129,129,0.00,0.000%,7.75194,2.35,0.95,311.0
Op-1-GetModels-16,1,219,219,219,0.00,0.000%,4.56621,1.39,0.56,311.0
Op-1-GetModels-31,1,129,129,129,0.00,0.000%,7.75194,2.35,0.95,311.0
Op-1-GetModels-20,1,202,202,202,0.00,0.000%,4.95050,1.50,0.61,311.0
Op-1-GetModels-25,1,180,180,180,0.00,0.000%,5.55556,1.69,0.68,311.0
Op-1-GetModels-17,1,233,233,233,0.00,0.000%,4.29185,1.30,0.53,311.0
Op-1-GetModels-18,1,217,217,217,0.00,0.000%,4.60829,1.40,0.57,311.0
Op-1-GetModels-12,1,235,235,235,0.00,0.000%,4.25532,1.29,0.52,311.0
Op-1-GetModels-29,1,162,162,162,0.00,0.000%,6.17284,1.87,0.76,311.0
Op-1-GetModels-28,1,171,171,171,0.00,0.000%,5.84795,1.78,0.72,311.0
Op-1-GetModels-40,1,133,133,133,0.00,0.000%,7.51880,2.28,0.93,311.0
Op-1-GetModels-30,1,135,135,135,0.00,0.000%,7.40741,2.25,0.91,311.0
Op-1-GetModels-46,1,88,88,88,0.00,0.000%,11.36364,3.45,1.40,311.0
Op-1-GetModels-32,1,136,136,136,0.00,0.000%,7.35294,2.23,0.90,311.0
Op-1-GetModels-43,1,125,125,125,0.00,0.000%,8.00000,2.43,0.98,311.0
Op-1-GetModels-53,1,79,79,79,0.00,0.000%,12.65823,3.84,1.56,311.0
Op-1-GetModels-39,1,128,128,128,0.00,0.000%,7.81250,2.37,0.96,311.0
Op-1-GetModels-44,1,142,142,142,0.00,0.000%,7.04225,2.14,0.87,311.0
Op-1-GetModels-36,1,168,168,168,0.00,0.000%,5.95238,1.81,0.73,311.0
Op-1-GetModels-54,1,104,104,104,0.00,0.000%,9.61538,2.92,1.18,311.0
Op-1-GetModels-42,1,167,167,167,0.00,0.000%,5.98802,1.82,0.74,311.0
Op-1-GetModels-55,1,93,93,93,0.00,0.000%,10.75269,3.27,1.32,311.0
Op-1-GetModels-45,1,124,124,124,0.00,0.000%,8.06452,2.45,0.99,311.0
Op-1-GetModels-38,1,170,170,170,0.00,0.000%,5.88235,1.79,0.72,311.0
Op-1-GetModels-47,1,131,131,131,0.00,0.000%,7.63359,2.32,0.94,311.0
Op-1-GetModels-56,1,101,101,101,0.00,0.000%,9.90099,3.01,1.22,311.0
Op-1-GetModels-50,1,131,131,131,0.00,0.000%,7.63359,2.32,0.94,311.0
Op-1-GetModels-57,1,103,103,103,0.00,0.000%,9.70874,2.95,1.19,311.0
Op-1-GetModels-37,1,168,168,168,0.00,0.000%,5.95238,1.81,0.73,311.0
Op-1-GetModels-52,1,102,102,102,0.00,0.000%,9.80392,2.98,1.21,311.0
Op-1-GetModels-48,1,136,136,136,0.00,0.000%,7.35294,2.23,0.90,311.0
Op-1-GetModels-51,1,106,106,106,0.00,0.000%,9.43396,2.87,1.16,311.0
Op-1-GetModels-35,1,187,187,187,0.00,0.000%,5.34759,1.62,0.66,311.0
Op-1-GetModels-41,1,186,186,186,0.00,0.000%,5.37634,1.63,0.66,311.0
Op-1-GetModels-49,1,139,139,139,0.00,0.000%,7.19424,2.18,0.89,311.0
Op-1-GetModels-58,1,110,110,110,0.00,0.000%,9.09091,2.76,1.12,311.0
